Msg length,Encryption,KFrags Gen,KFrags Dist,CFrags Gath,Decryption,Tot
100,2.374755859375,5.73388671875,21.36962890625,5.841796875,14.12353515625,49.443603515625
200,2.066650390625,5.484619140625,24.504150390625,6.095703125,14.197265625,52.348388671875
300,2.069580078125,5.555908203125,21.721435546875,7.549072265625,16.860595703125,53.756591796875
400,1.99951171875,5.39892578125,11.6279296875,5.278076171875,13.26611328125,37.570556640625
500,3.396240234375,5.779296875,13.65380859375,4.720703125,12.10009765625,39.650146484375
600,1.69775390625,4.379638671875,13.639892578125,4.19970703125,14.650634765625,38.567626953125
700,1.69384765625,4.646728515625,19.83251953125,5.14794921875,14.162841796875,45.48388671875
800,1.844482421875,4.869384765625,10.793212890625,4.63525390625,11.5078125,33.650146484375
900,1.658203125,5.35791015625,13.514404296875,5.1943359375,14.035888671875,39.7607421875
1000,1.849609375,6.14794921875,10.674072265625,8.883544921875,15.840087890625,43.395263671875
1100,1.95166015625,5.1787109375,10.810302734375,4.328125,11.724609375,33.993408203125
1200,1.910400390625,6.05810546875,16.46923828125,4.503173828125,14.946533203125,43.887451171875
1300,3.07275390625,5.3193359375,18.37890625,4.707763671875,15.162841796875,46.6416015625
1400,2.050537109375,4.67578125,10.791259765625,12.916748046875,19.392333984375,49.82666015625
1500,1.966064453125,7.0087890625,17.35986328125,4.8984375,12.838134765625,44.0712890625
1600,2.6083984375,5.712890625,19.0712890625,5.165771484375,12.487548828125,45.0458984375
1700,1.7021484375,4.974365234375,18.280029296875,7.323974609375,13.81689453125,46.097412109375
1800,1.8193359375,5.498291015625,14.023681640625,4.772705078125,16.437255859375,42.55126953125
1900,1.938232421875,5.068115234375,11.02685546875,4.5986328125,13.630615234375,36.262451171875
2000,1.928955078125,7.5595703125,11.0234375,4.15869140625,15.14697265625,39.817626953125
2100,2.375,5.120849609375,13.019287109375,4.4755859375,13.697509765625,38.688232421875
2200,1.7353515625,4.5634765625,10.820556640625,6.068603515625,15.81201171875,39.0
2300,1.946044921875,5.40478515625,16.970703125,6.241943359375,23.399169921875,53.962646484375
2400,3.5244140625,8.461669921875,16.714111328125,5.48095703125,16.31884765625,50.5
2500,1.721923828125,5.98193359375,14.570068359375,4.751708984375,13.193359375,40.218994140625
2600,2.349609375,4.679443359375,10.782470703125,5.181884765625,15.271484375,38.264892578125
2700,3.53564453125,6.245849609375,11.694580078125,4.495849609375,14.265869140625,40.23779296875
2800,1.6826171875,4.437255859375,13.565185546875,5.87841796875,15.459716796875,41.023193359375
2900,1.878662109375,5.126953125,14.48193359375,6.836669921875,13.192626953125,41.516845703125
3000,1.81103515625,4.751708984375,14.31005859375,4.3994140625,14.9248046875,40.197021484375
3100,1.755615234375,4.736083984375,10.211181640625,5.1005859375,13.711181640625,35.5146484375
3200,1.610595703125,7.552001953125,10.41259765625,4.52099609375,12.4326171875,36.52880859375
3300,2.657470703125,4.48095703125,13.494384765625,4.42919921875,11.6201171875,36.68212890625
3400,1.593505859375,5.197509765625,16.390869140625,4.21142578125,13.126220703125,40.51953125
3500,2.689697265625,8.1298828125,11.60888671875,5.84912109375,15.85107421875,44.128662109375
3600,1.86328125,4.895751953125,10.7744140625,4.55908203125,13.824951171875,35.91748046875
3700,1.697021484375,4.404052734375,14.96533203125,5.3095703125,11.53515625,37.9111328125
3800,1.593505859375,4.671142578125,17.271484375,5.1630859375,13.010498046875,41.709716796875
3900,1.775146484375,5.5029296875,17.42529296875,5.006103515625,15.473876953125,45.183349609375
4000,3.080322265625,5.14306640625,10.97021484375,4.391357421875,15.994873046875,39.579833984375
4100,2.337158203125,12.112060546875,20.860107421875,4.3798828125,11.638671875,51.327880859375
4200,1.58154296875,4.708251953125,11.635009765625,11.11279296875,18.246337890625,47.283935546875
4300,1.896240234375,5.120849609375,10.685302734375,4.165771484375,13.41162109375,35.27978515625
4400,1.7138671875,4.388916015625,15.422607421875,4.54345703125,12.594970703125,38.663818359375
4500,2.257568359375,5.06494140625,10.79638671875,8.459228515625,14.84619140625,41.42431640625
